2021-06-29 12:06:432 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-29 12:06:627 INFO  HomePage :50 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //a[@class='ico-register']]
2021-06-29 12:06:746 INFO  HomePage :58 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //label[contains(text(),'Male')]]
2021-06-29 12:06:780 INFO  HomePage :61 - Get first name:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //input[@id='FirstName']]
2021-06-29 12:06:908 INFO  HomePage :65 - Get last name:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //input[@id='LastName']]
2021-06-29 12:06:142 INFO  HomePage :71 - Date:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-29 12:06:165 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-29 12:06:201 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-29 12:06:217 INFO  HomePage :81 - Get Email id:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //input[@id='Email']]
2021-06-29 12:06:368 INFO  HomePage :89 - Get password:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //input[@id='Password']]
2021-06-29 12:06:504 INFO  HomePage :93 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (209b84efb6cc05c70a67b487f6393037)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-29 12:06:801 INFO  HomePage :100 - Register message:Proxy element for: DefaultElementLocator 'By.xpath: //div[text()='Your registration completed']'
2021-06-29 12:06:775 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-29 12:06:211 INFO  HomePage :50 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //a[@class='ico-register']]
2021-06-29 12:06:307 INFO  HomePage :58 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //label[contains(text(),'Male')]]
2021-06-29 12:06:335 INFO  HomePage :61 - Get first name:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //input[@id='FirstName']]
2021-06-29 12:06:472 INFO  HomePage :65 - Get last name:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //input[@id='LastName']]
2021-06-29 12:06:665 INFO  HomePage :71 - Date:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-29 12:06:698 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-29 12:06:729 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-29 12:06:745 INFO  HomePage :81 - Get Email id:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //input[@id='Email']]
2021-06-29 12:06:907 INFO  HomePage :89 - Get password:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //input[@id='Password']]
2021-06-29 12:06:41 INFO  HomePage :93 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-29 12:06:656 INFO  HomePage :100 - Register message:[[ChromeDriver: chrome on WINDOWS (616f650669e5ea821255ab8d1281750a)] -> xpath: //div[text()='Your registration completed']]
2021-06-29 22:06:291 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-29 22:06:257 INFO  HomePage :50 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //a[@class='ico-register']]
2021-06-29 22:06:381 INFO  HomePage :58 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //label[contains(text(),'Male')]]
2021-06-29 22:06:431 INFO  HomePage :61 - Get first name:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //input[@id='FirstName']]
2021-06-29 22:06:604 INFO  HomePage :65 - Get last name:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //input[@id='LastName']]
2021-06-29 22:06:810 INFO  HomePage :71 - Date:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-29 22:06:838 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-29 22:06:868 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-29 22:06:901 INFO  HomePage :81 - Get Email id:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //input[@id='Email']]
2021-06-29 22:06:97 INFO  HomePage :89 - Get password:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //input[@id='Password']]
2021-06-29 22:06:241 INFO  HomePage :93 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-29 22:06:795 INFO  HomePage :100 - Register message:[[ChromeDriver: chrome on WINDOWS (cec15abaca3dab84e95b8243ced0b0d7)] -> xpath: //div[text()='Your registration completed']]
2021-06-29 22:06:03 INFO  HomePage :109 - Clicking on radio button:Proxy element for: DefaultElementLocator 'By.xpath: //a[@class='ico-logout']'
2021-06-30 11:06:126 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-30 11:06:216 INFO  HomePage :29 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (e9336c53ff13eb30873dd6ee23c6b26b)] -> link text: Log in]
2021-06-30 11:06:258 INFO  HomePage :32 - Sign in Text:[[ChromeDriver: chrome on WINDOWS (e9336c53ff13eb30873dd6ee23c6b26b)] -> xpath: //h1[text()='Welcome, Please Sign In!']]
2021-06-30 11:06:111 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-30 11:06:75 INFO  HomePage :29 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (0430246e1bad82a1f1ca1a442246885b)] -> link text: Log in]
2021-06-30 11:06:110 INFO  HomePage :36 - Get Email id:[[ChromeDriver: chrome on WINDOWS (0430246e1bad82a1f1ca1a442246885b)] -> xpath: //input[@id='Email']]
2021-06-30 11:06:376 INFO  HomePage :45 - Get Email id:[[ChromeDriver: chrome on WINDOWS (0430246e1bad82a1f1ca1a442246885b)] -> name: Password]
2021-06-30 11:06:638 INFO  HomePage :41 - Clicking on Login button:[[ChromeDriver: chrome on WINDOWS (0430246e1bad82a1f1ca1a442246885b)] -> xpath: //button[@class='button-1 login-button']]
2021-06-30 11:06:775 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-30 11:06:457 INFO  HomePage :29 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (805e958a4418ea19a8ed5785af83fc30)] -> link text: Log in]
2021-06-30 11:06:498 INFO  HomePage :36 - Get Email id:[[ChromeDriver: chrome on WINDOWS (805e958a4418ea19a8ed5785af83fc30)] -> xpath: //input[@id='Email']]
2021-06-30 11:06:659 INFO  HomePage :89 - Get password:[[ChromeDriver: chrome on WINDOWS (805e958a4418ea19a8ed5785af83fc30)] -> xpath: //input[@id='Password']]
2021-06-30 11:06:198 INFO  HomePage :41 - Clicking on Login button:[[ChromeDriver: chrome on WINDOWS (805e958a4418ea19a8ed5785af83fc30)] -> xpath: //button[@class='button-1 login-button']]
2021-06-30 11:06:227 INFO  HomePage :55 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2021-06-30 11:06:532 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-30 11:06:395 INFO  HomePage :29 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (a24a35999873e38cb639d6efa41d8388)] -> link text: Log in]
2021-06-30 11:06:429 INFO  HomePage :36 - Get Email id:[[ChromeDriver: chrome on WINDOWS (a24a35999873e38cb639d6efa41d8388)] -> xpath: //input[@id='Email']]
2021-06-30 11:06:550 INFO  HomePage :89 - Get password:[[ChromeDriver: chrome on WINDOWS (a24a35999873e38cb639d6efa41d8388)] -> xpath: //input[@id='Password']]
2021-06-30 11:06:827 INFO  HomePage :41 - Clicking on Login button:[[ChromeDriver: chrome on WINDOWS (a24a35999873e38cb639d6efa41d8388)] -> xpath: //button[@class='button-1 login-button']]
2021-06-30 11:06:890 INFO  HomePage :55 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2021-06-30 11:06:247 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-30 11:06:880 INFO  HomePage :29 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (2ccdc26ed14676dfdcff1c5874c26027)] -> link text: Log in]
2021-06-30 11:06:917 INFO  HomePage :36 - Get Email id:[[ChromeDriver: chrome on WINDOWS (2ccdc26ed14676dfdcff1c5874c26027)] -> xpath: //input[@id='Email']]
2021-06-30 11:06:80 INFO  HomePage :89 - Get password:[[ChromeDriver: chrome on WINDOWS (2ccdc26ed14676dfdcff1c5874c26027)] -> xpath: //input[@id='Password']]
2021-06-30 11:06:389 INFO  HomePage :41 - Clicking on Login button:[[ChromeDriver: chrome on WINDOWS (2ccdc26ed14676dfdcff1c5874c26027)] -> xpath: //button[@class='button-1 login-button']]
2021-06-30 11:06:440 INFO  HomePage :55 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2021-06-30 11:06:727 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-30 11:06:392 INFO  HomePage :50 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //a[@class='ico-register']]
2021-06-30 11:06:513 INFO  HomePage :58 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //label[contains(text(),'Male')]]
2021-06-30 11:06:552 INFO  HomePage :61 - Get first name:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //input[@id='FirstName']]
2021-06-30 11:06:714 INFO  HomePage :65 - Get last name:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //input[@id='LastName']]
2021-06-30 11:06:995 INFO  HomePage :71 - Date:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-30 11:06:26 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-30 11:06:59 INFO  HomePage :74 - Month:[[ChromeDriver: chrome on WINDOWS (c8e7b5bc0280d0b184c9a2d1e39f08b0)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
